Name,Price,Location,Shadow size,Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Anchovy,200,Sea,2,4 AM - 9 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Horse mackerel,150,Sea,2,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Barred knifejaw,5000,Sea,3,All day,✓,✓,✓,✓,✓,-,-,-,✓,✓,✓,✓
Sea bass,400,Sea,5,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Red snapper,3000,Sea,3,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Dab,300,Sea,3,All day,-,-,-,✓,✓,✓,✓,✓,✓,✓,-,-
Olive flounder,800,Sea,4,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Squid,500,Sea,3,All day,✓,✓,-,-,-,✓,✓,✓,✓,✓,✓,✓
Moray eel,2000,Sea,Narrow,All day,-,✓,✓,✓,-,-,-,-,-,-,-,-
Ribbon eel,600,Sea,Narrow,All day,✓,✓,✓,✓,-,-,-,-,-,-,-,✓
Tuna,7000,Pier,6,All day,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Blue marlin,10000,Pier,6,All day,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,-,-
Giant trevally,4500,Pier,5,All day,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Mahi-mahi,6000,Pier,5,All day,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Ocean sunfish,4000,Sea,6 (Fin),4 AM - 9 PM,✓,✓,✓,-,-,-,-,-,-,-,-,-
Ray,3000,Sea,5,4 AM - 9 PM,-,✓,✓,✓,✓,-,-,-,-,-,-,-
Saw shark,12000,Sea,6 (Fin),4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Hammerhead shark,8000,Sea,6 (Fin),4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Great white shark,15000,Sea,6 (Fin),4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Whale shark,13000,Sea,6 (Fin),All Day,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Suckerfish,1500,Sea,6 (Fin),All day,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Football fish,2500,Sea,4,4 PM - 9 AM,-,-,-,-,✓,✓,✓,✓,✓,-,-,-
Oarfish,9000,Sea,6,All day,-,-,-,-,-,✓,✓,✓,✓,✓,✓,-
Barreleye,15000,Sea,2,9 PM - 4 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Coelacanth,15000,Sea (Rainy Days),6,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
